scan_idx,x,y,msd_nm,fail
0,-0.048,-0.128,401.0,0
1,-0.032,-0.128,1067.8,0
2,-0.016,-0.128,1067.8,0
3,0.000,-0.128,1067.7,0
4,0.016,-0.128,1067.8,0
5,0.032,-0.128,1067.7,0
6,0.048,-0.128,1020.8,0
7,0.080,-0.112,1623.8,1
8,0.064,-0.112,1020.8,0
9,0.048,-0.112,1020.8,0
10,0.032,-0.112,1020.7,0
11,0.016,-0.112,1020.8,0
12,0.000,-0.112,1020.7,0
13,-0.016,-0.112,1067.8,0
14,-0.032,-0.112,1067.8,0
15,-0.048,-0.112,1067.8,0
16,-0.064,-0.112,1067.8,0
17,-0.080,-0.112,1067.8,0
18,-0.096,-0.096,466.0,0
19,-0.080,-0.096,1067.7,0
20,-0.064,-0.096,1067.8,0
21,-0.048,-0.096,1067.8,0
22,-0.032,-0.096,1067.8,0
23,-0.016,-0.096,1067.7,0
24,0.000,-0.096,1067.8,0
25,0.016,-0.096,1067.7,0
26,0.032,-0.096,1067.8,0
27,0.048,-0.096,1067.8,0
28,0.064,-0.096,1067.8,0
29,0.080,-0.096,1067.8,0
30,0.096,-0.096,1067.8,0
31,0.112,-0.080,1693.0,1
32,0.096,-0.080,1067.8,0
33,0.080,-0.080,1067.8,0
34,0.064,-0.080,1067.8,0
35,0.048,-0.080,1067.8,0
36,0.032,-0.080,1067.8,0
37,0.016,-0.080,1067.7,0
38,0.000,-0.080,1067.8,0
39,-0.016,-0.080,1067.7,0
40,-0.032,-0.080,1067.8,0
41,-0.048,-0.080,1067.8,0
42,-0.064,-0.080,1067.8,0
43,-0.080,-0.080,1067.8,0
44,-0.096,-0.080,1067.8,0
45,-0.112,-0.080,1067.8,0
46,-0.112,-0.064,465.9,0
47,-0.096,-0.064,1067.7,0
48,-0.080,-0.064,1067.8,0
49,-0.064,-0.064,1067.8,0
50,-0.048,-0.064,1067.8,0
51,-0.032,-0.064,1067.8,0
52,-0.016,-0.064,1067.8,0
53,0.000,-0.064,1067.7,0
54,0.016,-0.064,1067.8,0
55,0.032,-0.064,1067.7,0
56,0.048,-0.064,1067.8,0
57,0.064,-0.064,1067.8,0
58,0.080,-0.064,1067.8,0
59,0.096,-0.064,1067.8,0
60,0.112,-0.064,1067.8,0
61,0.128,-0.048,1693.1,1
62,0.112,-0.048,1067.8,0
63,0.096,-0.048,1067.8,0
64,0.080,-0.048,1067.8,0
65,0.064,-0.048,1067.8,0
66,0.048,-0.048,1067.8,0
67,0.032,-0.048,1067.8,0
68,0.016,-0.048,1067.8,0
69,0.000,-0.048,1067.7,0
70,-0.016,-0.048,1067.8,0
71,-0.032,-0.048,1067.7,0
72,-0.048,-0.048,1067.8,0
73,-0.064,-0.048,1067.8,0
74,-0.080,-0.048,1067.8,0
75,-0.096,-0.048,1067.8,0
76,-0.112,-0.048,1067.8,0
77,-0.128,-0.048,1067.8,0
78,-0.128,-0.032,466.0,0
79,-0.112,-0.032,1067.7,0
80,-0.096,-0.032,1067.8,0
81,-0.080,-0.032,1067.8,0
82,-0.064,-0.032,1067.8,0
83,-0.048,-0.032,1067.8,0
84,-0.032,-0.032,1067.8,0
85,-0.016,-0.032,1067.7,0
86,0.000,-0.032,1067.8,0
87,0.016,-0.032,1067.7,0
88,0.032,-0.032,1067.8,0
89,0.048,-0.032,1067.7,0
90,0.064,-0.032,1067.8,0
91,0.080,-0.032,1067.8,0
92,0.096,-0.032,1067.8,0
93,0.112,-0.032,1067.8,0
94,0.128,-0.032,1067.8,0
95,0.128,-0.016,1693.1,1
96,0.112,-0.016,1067.8,0
97,0.096,-0.016,1067.8,0
98,0.080,-0.016,1067.8,0
99,0.064,-0.016,1067.8,0
100,0.048,-0.016,1067.8,0
101,0.032,-0.016,1067.8,0
102,0.016,-0.016,1067.8,0
103,0.000,-0.016,1067.7,0
104,-0.016,-0.016,1067.8,0
105,-0.032,-0.016,1067.7,0
106,-0.048,-0.016,1067.8,0
107,-0.064,-0.016,1067.8,0
108,-0.080,-0.016,1020.8,0
109,-0.096,-0.016,1020.8,0
110,-0.112,-0.016,1020.7,0
111,-0.128,-0.016,1020.8,0
112,-0.128,0.000,484.6,0
113,-0.112,0.000,1020.8,0
114,-0.096,0.000,1020.7,0
115,-0.080,0.000,1020.8,0
116,-0.064,0.000,1020.7,0
117,-0.048,0.000,1020.8,0
118,-0.032,0.000,1020.7,0
119,-0.016,0.000,1020.8,0
120,0.000,0.000,1020.7,0
121,0.016,0.000,1020.8,0
122,0.032,0.000,1020.7,0
123,0.048,0.000,1020.8,0
124,0.064,0.000,1020.7,0
125,0.080,0.000,1020.8,0
126,0.096,0.000,1020.7,0
127,0.112,0.000,1020.8,0
128,0.128,0.000,1020.7,0
129,0.128,0.016,1623.8,1
130,0.112,0.016,1020.8,0
131,0.096,0.016,1020.8,0
132,0.080,0.016,1020.7,0
133,0.064,0.016,1020.8,0
134,0.048,0.016,1020.7,0
135,0.032,0.016,1020.8,0
136,0.016,0.016,1020.7,0
137,0.000,0.016,1020.8,0
138,-0.016,0.016,1020.7,0
139,-0.032,0.016,1020.8,0
140,-0.048,0.016,1020.7,0
141,-0.064,0.016,1020.8,0
142,-0.080,0.016,1020.7,0
143,-0.096,0.016,1020.8,0
144,-0.112,0.016,1020.7,0
145,-0.128,0.016,1020.8,0
146,-0.128,0.032,484.6,0
147,-0.112,0.032,1020.8,0
148,-0.096,0.032,1020.7,0
149,-0.080,0.032,1020.8,0
150,-0.064,0.032,1020.7,0
151,-0.048,0.032,1020.8,0
152,-0.032,0.032,1020.7,0
153,-0.016,0.032,1020.8,0
154,0.000,0.032,1020.7,0
155,0.016,0.032,1020.8,0
156,0.032,0.032,1020.7,0
157,0.048,0.032,1020.8,0
158,0.064,0.032,1020.7,0
159,0.080,0.032,1020.8,0
160,0.096,0.032,1020.7,0
161,0.112,0.032,1020.8,0
162,0.128,0.032,1020.7,0
163,0.128,0.048,1623.8,1
164,0.112,0.048,1020.8,0
165,0.096,0.048,1020.8,0
166,0.080,0.048,1020.7,0
167,0.064,0.048,1020.8,0
168,0.048,0.048,1020.7,0
169,0.032,0.048,1020.8,0
170,0.016,0.048,1020.7,0
171,0.000,0.048,1020.8,0
172,-0.016,0.048,1020.7,0
173,-0.032,0.048,1020.8,0
174,-0.048,0.048,1020.7,0
175,-0.064,0.048,1020.8,0
176,-0.080,0.048,1020.7,0
177,-0.096,0.048,1020.8,0
178,-0.112,0.048,1020.7,0
179,-0.128,0.048,1020.7,0
180,-0.112,0.064,484.6,0
181,-0.096,0.064,1020.8,0
182,-0.080,0.064,1020.7,0
183,-0.064,0.064,1020.8,0
184,-0.048,0.064,1020.7,0
185,-0.032,0.064,1020.8,0
186,-0.016,0.064,1020.7,0
187,0.000,0.064,1020.8,0
188,0.016,0.064,1020.7,0
189,0.032,0.064,1020.8,0
190,0.048,0.064,1020.7,0
191,0.064,0.064,1020.8,0
192,0.080,0.064,1020.7,0
193,0.096,0.064,1020.8,0
194,0.112,0.064,1020.7,0
195,0.112,0.080,1623.8,1
196,0.096,0.080,1020.8,0
197,0.080,0.080,1020.8,0
198,0.064,0.080,1020.7,0
199,0.048,0.080,1020.8,0
200,0.032,0.080,1020.7,0
201,0.016,0.080,1020.8,0
202,0.000,0.080,1020.7,0
203,-0.016,0.080,1020.8,0
204,-0.032,0.080,1020.7,0
