scan_idx,x,y,msd_nm,fail
0,-0.048,-0.128,399.2,0
1,-0.032,-0.128,1230.1,0
2,-0.016,-0.128,1230.2,0
3,0.000,-0.128,1230.3,0
4,0.016,-0.128,1230.4,0
5,0.032,-0.128,1230.3,0
6,0.048,-0.128,1157.0,0
7,0.080,-0.112,1841.9,1
8,0.064,-0.112,1157.4,0
9,0.048,-0.112,1157.0,0
10,0.032,-0.112,1156.9,0
11,0.016,-0.112,1157.0,0
12,0.000,-0.112,1156.9,0
13,-0.016,-0.112,1230.4,0
14,-0.032,-0.112,1230.4,0
15,-0.048,-0.112,1230.3,0
16,-0.064,-0.112,1230.4,0
17,-0.080,-0.112,1230.4,0
18,-0.096,-0.096,518.5,0
19,-0.080,-0.096,1230.1,0
20,-0.064,-0.096,1230.3,0
21,-0.048,-0.096,1230.4,0
22,-0.032,-0.096,1230.4,0
23,-0.016,-0.096,1230.3,0
24,0.000,-0.096,1230.4,0
25,0.016,-0.096,1230.3,0
26,0.032,-0.096,1230.4,0
27,0.048,-0.096,1230.3,0
28,0.064,-0.096,1230.4,0
29,0.080,-0.096,1230.4,0
30,0.096,-0.096,1230.3,0
31,0.112,-0.080,1940.6,1
32,0.096,-0.080,1229.9,0
33,0.080,-0.080,1230.4,0
34,0.064,-0.080,1230.3,0
35,0.048,-0.080,1230.4,0
36,0.032,-0.080,1230.4,0
37,0.016,-0.080,1230.3,0
38,0.000,-0.080,1230.4,0
39,-0.016,-0.080,1230.3,0
40,-0.032,-0.080,1230.4,0
41,-0.048,-0.080,1230.3,0
42,-0.064,-0.080,1230.4,0
43,-0.080,-0.080,1230.4,0
44,-0.096,-0.080,1230.3,0
45,-0.112,-0.080,1230.4,0
46,-0.112,-0.064,518.6,0
47,-0.096,-0.064,1230.2,0
48,-0.080,-0.064,1230.3,0
49,-0.064,-0.064,1230.4,0
50,-0.048,-0.064,1230.3,0
51,-0.032,-0.064,1230.3,0
52,-0.016,-0.064,1230.4,0
53,0.000,-0.064,1230.3,0
54,0.016,-0.064,1230.4,0
55,0.032,-0.064,1230.3,0
56,0.048,-0.064,1230.4,0
57,0.064,-0.064,1230.4,0
58,0.080,-0.064,1230.3,0
59,0.096,-0.064,1230.4,0
60,0.112,-0.064,1230.3,0
61,0.128,-0.048,1940.6,1
62,0.112,-0.048,1229.9,0
63,0.096,-0.048,1230.4,0
64,0.080,-0.048,1230.3,0
65,0.064,-0.048,1230.4,0
66,0.048,-0.048,1230.3,0
67,0.032,-0.048,1230.3,0
68,0.016,-0.048,1230.4,0
69,0.000,-0.048,1230.3,0
70,-0.016,-0.048,1230.4,0
71,-0.032,-0.048,1230.3,0
72,-0.048,-0.048,1230.4,0
73,-0.064,-0.048,1230.4,0
74,-0.080,-0.048,1230.3,0
75,-0.096,-0.048,1230.4,0
76,-0.112,-0.048,1230.3,0
77,-0.128,-0.048,1230.4,0
78,-0.128,-0.032,518.6,0
79,-0.112,-0.032,1230.2,0
80,-0.096,-0.032,1230.3,0
81,-0.080,-0.032,1230.4,0
82,-0.064,-0.032,1230.3,0
83,-0.048,-0.032,1230.4,0
84,-0.032,-0.032,1230.4,0
85,-0.016,-0.032,1230.3,0
86,0.000,-0.032,1230.4,0
87,0.016,-0.032,1230.3,0
88,0.032,-0.032,1230.4,0
89,0.048,-0.032,1230.3,0
